ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT;STATUS
1915;QUADRA DA PRAÇA ISMAEL DE OLIVEIRA FÁBREGAS;;QUADRA DE FUTSAL;PRACA;ISMAEL DE OLIVEIRA FABREGAS;150.0;;SILVEIRA; ;POINT (611788.14 7800477.15);FPMZB-SMMA;ATIVO
1916;PISTA DE SKATE DO PARQUE MUNICIPAL ISMAEL DE OLIVEIRA FÁBREGAS;;PISTA DE SKATE;PRACA;ISMAEL DE OLIVEIRA FABREGAS;150.0;;SILVEIRA; ;POINT (611773.72 7800457.03);FPMZB-SMMA;ATIVO
1507;ACADEMIA DA PRAÇA ISMAEL DE OLIVEIRA FÁBREGAS;;ACADEMIA A CÉU ABERTO;PRACA;ISMAEL DE OLIVEIRA FABREGAS;400.0;;SILVEIRA; ;POINT (611731.13 7800422.52);FPMZB-SMMA;ATIVO
1239;QUADRA DA VILA SENHOR DOS PASSOS;;QUADRA DE FUTSAL;BECO;AMEDISTA;85.0;;SENHOR DOS PASSOS; ;POINT (610019.52 7798478.80);SMEL;ATIVO
2564;ACADEMIA DO PARQUE REAL;;ACADEMIA A CÉU ABERTO;RUA;TRES MIL E SETENTA E QUATRO;301.0;;PAULO VI; ;POINT (616455.05 7805506.76);FPMZB-SMMA;ATIVO
2707;PISTA DE SKATE DO PARQUE REAL;;PISTA DE SKATE;RUA;TRES MIL E SETENTA E QUATRO;201.0;;PAULO VI; ;POINT (616440.01 7805523.37);FPMZB - SMMA;ATIVO
2708;QUADRA DO PARQUE REAL 1;;QUADRA POLIESPORTIVA;RUA;TRES MIL E SETENTA E QUATRO;201.0;;PAULO VI; ;POINT (616408.75 7805537.53);FPMZB - SMMA;ATIVO
2709;QUADRA DO PARQUE REAL 2;;QUADRA RECREATIVA;RUA;TRES MIL E SETENTA E QUATRO;201.0;;PAULO VI; ;POINT (616414.51 7805521.36);FPMZB - SMMA;ATIVO
2710;QUADRA DO PARQUE REAL 3;;QUADRA RECREATIVA;RUA;TRES MIL E SETENTA E QUATRO;201.0;;PAULO VI; ;POINT (616416.18 7805512.33);FPMZB - SMMA;ATIVO
2401;CAMPO DO PINDORAMA;CAMPINHO DA ASSOCIAÇÃO DESENVOLVIMENTO PINDORAMA;CAMPO DE FUTEBOL SOCIETY;RUA;ALINE;845.0;;PINDORAMA; ;POINT (602362.25 7798162.42);SMEL;ATIVO
1306;CAMPO DO REMO;PRAÇA DE ESPORTES JOÃO LEITE DA SILVA NETO;CAMPO DE FUTEBOL;RUA;CACHOEIRA DA PRATA;900.0;;PINDORAMA; ;POINT (602990.30 7797947.32);SLU;ATIVO
1353;QUADRA POLIESPORTIVA ANTÔNIO NABÁ;QUADRA DO LINDÉIA;GINÁSIO;RUA;DAS PETUNIAS;547.0;;LINDÉIA; ;POINT (599206.03 7791084.86);SMEL;ATIVO
1291;ESTÁDIO ISAÍAS GHOLGUER;TUPINENSE;CAMPO DE FUTEBOL;RUA;NELSON HUNGRIA;1001.0;;TUPI A; ;POINT (612852.51 7806258.42);SMEL;ATIVO
1818;CAMPO FLÁVIO MARQUES LISBOA;POEIRÃO;CAMPO DE FUTEBOL SOCIETY;RUA;DOUTOR CRISTIANO REZENDE;3003.0;;FLÁVIO MARQUES LISBOA; ;POINT (604546.90 7788945.88);SMEL;ATIVO
1819;QUADRA DO FLÁVIO MARQUES LISBOA 1;POEIRÃO;QUADRA DE FUTSAL;RUA;DOUTOR CRISTIANO REZENDE;3003.0;;FLÁVIO MARQUES LISBOA; ;POINT (604521.33 7788929.20);SMEL;ATIVO
2361;QUADRA DO FLÁVIO MARQUES LISBOA 2;;QUADRA RECREATIVA;RUA;DOUTOR CRISTIANO REZENDE;3003.0;;FLÁVIO MARQUES LISBOA; ;POINT (604541.92 7788913.48);SMEL;ATIVO
1573;ACADEMIA DA PRAÇA RODRIGUES DA CUNHA;;ACADEMIA A CÉU ABERTO;RUA;PROFESSOR CARLOS DE ALMEIDA;105.0;;MONTE AZUL; ;POINT (615995.18 7808240.62);SMEL;ATIVO
1290;GINÁSIO POLIESPORTIVO JAIR FLOSINO DOS REIS;GINÁSIO DO MONTE AZUL;GINÁSIO;RUA;PROFESSOR CARLOS DE ALMEIDA;105.0;;MONTE AZUL; ;POINT (615808.23 7808283.43);SMED;ATIVO
